|importar|clase|main|si|sinosi|sino|para|mientras|leer|imprimir|vacio|entero|real|caracter|cadena|bool|VERDADERO|FALSO|retornar|[|]|(|)|}|=|%%|+|-|*|/|&&|"||"|==|!=|>|<|>=|<=|,|.|;|VALOR|ID
                <S>|{inicio} <libreria>|{inicio} <clase>|{inicio} <main>||||||||{inicio} <funcion>|{inicio} <funcion>|{inicio} <funcion>|{inicio} <funcion>|{inicio} <funcion>|{inicio} <funcion>|||||||||||||||||||||||||||
         <libreria>|importar ID ; <libreria>|<clase>|<main>||||||||<funcion>|<funcion>|<funcion>|<funcion>|<funcion>|<funcion>|||||||||||||||||||||||||||
            <clase>||clase ID ( <argumento> { <cuerpoClase> <clase>|<main>||||||||<funcion>|<funcion>|<funcion>|<funcion>|<funcion>|<funcion>|||||||||||||||||||||||||||
      <cuerpoClase>|||||||||||vacio ID ( <argumento> { <cuerpoFunc> <otroCuerpoClase>|<tipoDato> ID <elementoClase>|<tipoDato> ID <elementoClase>|<tipoDato> ID <elementoClase>|<tipoDato> ID <elementoClase>|<tipoDato> ID <elementoClase>|||||||||||||||||||||||||||
  <otroCuerpoClase>|||||||||||<cuerpoClase>|<cuerpoClase>|<cuerpoClase>|<cuerpoClase>|<cuerpoClase>|<cuerpoClase>||||||||}|||||||||||||||||||
    <elementoClase>||||||||||||||||||||<variableClase> <otroCuerpoClase>||<metodo> <otroCuerpoClase>|||||||||||||||||<variableClase> <otroCuerpoClase>||<variableClase> <otroCuerpoClase>||
    <variableClase>||||||||||||||||||||[ <valor> ] ;|||||||||||||||||||<otraVariableClase>||<otraVariableClase>||
<otraVariableClase>|||||||||||||||||||||||||||||||||||||||, ID <otraVariableClase>||;||
          <funcion>|||<main>||||||||vacio ID ( <argumento> { <cuerpo> <funcion>|<tipoDato> ID <metodo> <funcion>|<tipoDato> ID <metodo> <funcion>|<tipoDato> ID <metodo> <funcion>|<tipoDato> ID <metodo> <funcion>|<tipoDato> ID <metodo> <funcion>|||||||||||||||||||||||||||
           <metodo>||||||||||||||||||||||( <argumento> { <cuerpoFunc>|||||||||||||||||||||
       <cuerpoFunc>||||<cuerpo> <cuerpoFunc>|||<cuerpo> <cuerpoFunc>|<cuerpo> <cuerpoFunc>|<cuerpo> <cuerpoFunc>|<cuerpo> <cuerpoFunc>||<cuerpo> <cuerpoFunc>|<cuerpo> <cuerpoFunc>|<cuerpo> <cuerpoFunc>|<cuerpo> <cuerpoFunc>|<cuerpo> <cuerpoFunc>|||retornar <retorno> }|||||}|||||||||||||||||||<cuerpo> <cuerpoFunc>
